ID;hatching;1st molt;2nd molt;3rd molt;4th molt;eonymph;eonymph2;adulthatch;hatchingweightmg;treatmentweight;masschange;s;larvaltreat;treatment;died;purpose;pupaestageduration;larvalstageduration;totallifespan;adultlifespan;velocity;distancemoved;immobileduration;highlymobileduration;drybodymass;lipidmasstotal;lipidmgmgbodymass;carbsmasstotal;carbsmgmgbodymass
82;02.10.2023;4;6;8;10;14;;01.11.2023;23.60;20.20;-3.40;female;no;adult;22.11.2023;L;18;12;51;21;;;;;;;;;
83;03.10.2023;4;6;9;12;16;;03.11.2023;9.70;8.40;-1.30;male;no;adult;23.11.2023;B,L;18;13;51;20;0.267995;964.355;1963.52;456.56;;;;;
84;02.10.2023;4;6;8;10;14;;01.11.2023;22.60;19.20;-3.40;female;no;adult;19.11.2023;L;18;12;48;18;;;;;;;;;
85;02.10.2023;4;6;8;11;14;;01.11.2023;19.20;16.20;-3.00;female;no;adult;15.11.2023;L;18;12;44;14;;;;;;;;;
86;03.10.2023;5;7;9;11;15;;01.11.2023;20.10;17.40;-2.70;female;no;adult;;B,M;17;12;;;0.0271573;97.7228;3475.16;4.16;5.818;0.808;0.1389;0.099;0.0170
87;02.10.2023;4;6;9;11;15;;03.11.2023;11.60;9.70;-1.90;male;no;adult;;B,M;19;13;;;0.311546;1121.07;2206.88;660.4;2.898;1.060;0.3657;0.033;0.0114
88;02.10.2023;4;6;8;11;14;;01.11.2023;20.40;17.00;-3.40;female;no;adult;18.11.2023;L;18;12;47;17;;;;;;;;;
89;03.10.2023;5;6;8;10;14;;31.10.2023;21.50;19.30;-2.20;female;no;adult;22.11.2023;L;17;11;50;22;;;;;;;;;
90;02.10.2023;4;8;10;12;15;;03.11.2023;11.50;9.90;-1.60;male;no;adult;;B,M;19;13;;;0.625211;2251.06;1567.28;1391.52;3.022;1.437;0.4755;0.075;0.0248
91;04.10.2023;7;10;15;19;21;;;;;;;larval;double;21.10.2023;L;;;17;0;;;;;;;;;
92;02.10.2023;3;5;7;11;16;;04.11.2023;9.00;7.00;-2.00;male;larval;double;;B,M;19;14;;;0.276221;993.952;2257.84;458.12;2.022;0.132;0.0650;0.132;0.0650
93;02.10.2023;4;7;9;13;17;;05.11.2023;18.00;15.50;-2.50;female;larval;double;25.11.2023;B,L;19;15;54;20;0.0632903;227.875;3313.96;53.56;;;;;
94;04.10.2023;6;9;12;15;19;;08.11.2023;11.30;8.60;-2.70;male;larval;double;21.11.2023;B,L;20;15;48;13;0.0250935;90.2702;3478.8;4.16;;;;;
95;03.10.2023;5;7;10;13;17;;04.11.2023;19.10;15.90;-3.20;female;larval;double;22.11.2023;B,L;18;14;50;18;0.195207;702.837;2644.72;231.4;;;;;
96;02.10.2023;4;6;8;12;17;;04.11.2023;10.80;9.20;-1.60;male;larval;double;23.11.2023;B,L;18;15;52;19;0.104324;375.401;3097.12;183.04;;;;;
